[16:56:51] [INFO] --- Logger Initialized ---
[16:56:51] [INFO] Virtual CAN Bus Simulator started successfully.
[16:57:12] TX ID: 0x101 DLC: 2 Data: 12 7A 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1C 43 
[16:57:12] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 12 52 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1C 42 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 12 2A 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 41 
[16:57:13] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 12 02 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 40 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 11 DA 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 3F 
[16:57:13] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 11 B2 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 3E 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 11 8A 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 3D 
[16:57:13] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 11 62 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 3C 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 11 3A 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 3B 
[16:57:13] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 11 12 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 3A 
[16:57:13] TX ID: 0x101 DLC: 2 Data: 10 EA 
[16:57:13] TX ID: 0x102 DLC: 2 Data: 1C 39 
[16:57:13] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 10 C2 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1C 38 
[16:57:14] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 10 9A 
